0,18
0,19
0,25
0,19
0,19
0,19
0,23
0,24
0,21
0,19
0,24
0,22
0,20
0,23
0,24
0,22
0,18
0,24
0,23
0,22
0,26
0,22
0,22
0,22
0,18
0,23
0,23
0,23
0,20
0,20
0,19
0,23
0,28
0,19
0,36
0,22
0,21
0,23
0,22
0,20
0,26
0,18
0,19
0,18
0,25
0,19
0,25
0,17
0,32
0,24
0,21
0,18
0,19
0,22
0,28
0,22
0,26
0,22
0,22
0,20
0,19
0,20
0,18
0,25
0,19
0,37
0,20
0,21
0,22
0,27
0,24
0,28
0,24
0,25
0,20
0,24
0,24
0,23
0,23
0,21
0,21
0,25
0,19
0,21
0,18
0,21
0,23
0,20
0,23
0,20
0,24
0,27
0,26
0,21
0,24
0,20
0,20
0,27
0,18
0,21
